Liste des collisions de la plateforme de LFPG
Nombre de collisions : 58
70200 : AF684ZA et AFR1468
67730 : DLH1F et BEE208T
42555 : AFR508 et AFR582
70195 : AF684ZA et AFR1468
42550 : AFR508 et AFR582
35235 : ROT381 et TGZ628
67725 : DLH1F et BEE208T
70190 : AF684ZA et AFR1468
42545 : AFR508 et AFR582
67720 : DLH1F et BEE208T
70185 : AF684ZA et AFR1468
42540 : AFR508 et AFR582
67715 : DLH1F et BEE208T
70180 : AF684ZA et AFR1468
42535 : AFR508 et AFR582
20495 : AFR1554 et AFR1000
67710 : DLH1F et BEE208T
70175 : AF684ZA et AFR1468
43195 : AFR018 et BAW315
67705 : DLH1F et BEE208T
42530 : AFR508 et AFR582
70170 : AF684ZA et AFR1468
67700 : DLH1F et BEE208T
42525 : AFR508 et AFR582
70165 : AF684ZA et AFR1468
67695 : DLH1F et BEE208T
42520 : AFR508 et AFR582
70255 : AF684ZA et AFR1468
70160 : AF684ZA et AFR1468
67690 : DLH1F et BEE208T
42515 : AFR508 et AFR582
52680 : EZY3747 et AFR562
70250 : AF684ZA et AFR1468
70155 : AF684ZA et AFR1468
67685 : DLH1F et BEE208T
42510 : AFR508 et AFR582
70245 : AF684ZA et AFR1468
70150 : AF684ZA et AFR1468
67680 : DLH1F et BEE208T
70240 : AF684ZA et AFR1468
70145 : AF684ZA et AFR1468
67675 : DLH1F et BEE208T
70235 : AF684ZA et AFR1468
70140 : AF684ZA et AFR1468
70230 : AF684ZA et AFR1468
51420 : ROT384 et AFR212K
70135 : AF684ZA et AFR1468
39260 : FPO247E et ROT382
70225 : AF684ZA et AFR1468
70220 : AF684ZA et AFR1468
70215 : AF684ZA et AFR1468
42570 : AFR508 et AFR582
70210 : AF684ZA et AFR1468
42565 : AFR508 et AFR582
21095 : AFR1306 et BEL3630
70205 : AF684ZA et AFR1468
67735 : DLH1F et BEE208T
42560 : AFR508 et AFR582
Fin du fichier
